title,publish date,abstract
Predicting trace organic compound breakthrough in granular activated carbon using fluorescence and UV absorbance as surrogates,Mar 2015,"This study investigated the applicability of bulk organic parameters like dissolved organic carbon (DOC), UV absorbance at 254 nm (UV254), and total fluorescence (TF) to act as surrogates in predicting trace organic compound (TOrC) removal by granular activated carbon in water reuse applications. Using rapid small-scale column testing, empirical linear correlations for thirteen TOrCs were determined with DOC, UV254, and TF in four wastewater effluents. Linear correlations (R(2) > 0.7) were obtained for eight TOrCs in each water quality in the UV254 model, while ten TOrCs had R(2) > 0.7 in the TF model. Conversely, DOC was shown to be a poor surrogate for TOrC breakthrough prediction. When the data from all four water qualities was combined, good linear correlations were still obtained with TF having higher R(2) than UV254 especially for TOrCs with log Dow>1. Excellent linear relationship (R(2) > 0.9) between log Dow and the removal of TOrC at 0% surrogate removal (y-intercept) were obtained for the five neutral TOrCs tested in this study. Positively charged TOrCs had enhanced removals due to electrostatic interactions with negatively charged GAC that caused them to deviate from removals that would be expected with their log Dow. Application of the empirical linear correlation models to full-scale samples provided good results for six of seven TOrCs (except meprobamate) tested when comparing predicted TOrC removal by UV254 and TF with actual removals for GAC in all the five samples tested. Surrogate predictions using UV254 and TF provide valuable tools for rapid or on-line monitoring of GAC performance and can result in cost savings by extended GAC run times as compared to using DOC breakthrough to trigger regeneration or replacement.
Copyright © 2015 Elsevier Ltd. All rights reserved."
Potential analytical interferences and seasonal variability in diethyltoluamide environmental monitoring programs,Mar 2015,no abstract provided
N-nitrosodimethylamine (NDMA) formation at an indirect potable reuse facility,Mar 2015,"Full-scale experiments to evaluate N-nitrosodimethylamine (NDMA) formation and attenuation were performed within an advanced indirect potable reuse (IPR) treatment system, which includes, sequentially: chloramination for membrane fouling control, microfiltration (MF), reverse osmosis (RO), ultraviolet irradiation with hydrogen peroxide (UV/H2O2), final chloramination, and pH stabilization. Results of the study demonstrate that while RO does effectively remove the vast majority of NDMA precursors, RO permeate can still contain significant concentrations of NDMA precursors resulting in additional NDMA formation during chloramination. Thus, it is possible for this advanced treatment system to produce water with NDMA levels higher than regional requirements for potable applications (10 ng/L). The presence of H2O2 during UV oxidation reduced NDMA photolysis efficiency and increased NDMA formation (∼22 ng/L) during the secondary chloramination and lime stabilization. This is likely due to formation of UV/H2O2 degradation by-products with higher NDMA formation rate than the parent compounds. However, this effect was diminished with higher UV doses. Bench-scale experiments confirmed an enhanced NDMA formation during chloramination after UV/H2O2 treatment of dimethylformamide, a compound detected in RO permeate and used as model precursor in this study. The effect of pre-ozonation for membrane fouling control on NDMA formation was also evaluated at pilot- (ozone-MF-RO) and bench-scale. Relatively large NDMA formation (117–227 ng/L) occurred through ozone application that was dose dependent, whereas chloramination under typical dosages and contact times of IPR systems resulted in only a relatively small increase of NDMA (∼20 ng/L). Thus, this research shows that NDMA formation within a potable water reuse facility can be challenging and must be carefully evaluated and controlled."
Rapid analysis of trace organic compounds in water by automated online solid-phase extraction coupled to liquid chromatography–tandem mass spectrometry,Jan 2015,no abstract provided
Formation and speciation of haloacetic acids in seawater desalination using chlorine dioxide as disinfectant,Dec 2014,"To evaluate the formation potential of disinfection byproducts (DBPs) in a SWRO system when chlorine dioxide (ClO2) is used as a chemical disinfectant, the impact of principle precursors such as natural organic matter (NOM) and bromide ion on haloacetic acids (HAAs) formation and its speciation was investigated. In the presence of high bromide levels found in seawater, the active oxidizing agents formed by the action of ClO2 can react with NOM, resulting in halogenation reactions, and the production of brominated DBPs as the predominant byproducts. Elevating the initial levels of organic substances and bromide ions not only enhanced the total content of HAA5 formed, but also shifted the speciation of HAAs from the chlorinated to fully brominated forms at higher disinfectant doses and longer contact times of ClO2 disinfection. In addition, HAA5 formation potential increased in the order of transphilic > hydrophobic > hydrophilic NOM, suggesting HAA5 yield formed during ClO2 disinfection significantly depends on the characteristics of NOM that can lead to different speciation distribution of DBPs. However, at high doses of ClO2, it was observed that the disinfectant dose plays a more important role in speciation distribution of HAA5 than the characteristics of organic precursors."
Water pollution by POPs in China EP 2012,Dec 2014,no abstract provided
Magnesium oxide impregnated polyurethane to remove high levels of manganese cations from water,Nov 2014,no abstract provided
Review of National & International Management Approaches for Compounds of Emerging Concerns,Oct 2014,"In the U.S., federal, regional, local, and state regulatory agencies struggle to develop CEC management plans that provide assurance to the public, while balancing often incomplete risk profiles and increasing lists of detected compounds. Several federal programs exist for the management and control of CECs, but the extent and scope or these individual programs and their relative interaction are not widely understood. Outside of the U.S., several countries have proposed or implemented alternative management strategies to the U.S. for CECs in water. Most noticeable are initiatives in the European Union, Switzerland, Germany, Asia, and Australia. This paper summarizes programs for CECs in the U.S., the European Union, and Switzerland. Regulatory and non-regulatory CEC management strategies are discussed and placed in the relevant regulatory, social-political, and topographical context specific to each country."
Costs of Advanced Treatment in Water Reclamation (Supporting Information),Sep 2014,no abstract provided
"Application of surrogates, indicators, and high-resolution mass spectrometry to evaluate the efficacy of UV processes for attenuation of emerging contaminants in water",Sep 2014,no abstract provided
Environmental Designer Drugs: When Transformation May Not Eliminate Risk,Sep 2014,"Environmental transformation processes, including those occurring in natural and engineered systems, do not necessarily drastically alter molecular structures of bioactive organic contaminants. While the majority of generated transformation products are likely benign, substantial conservation of structure in transformation products can imply conservation or even creation of bioactivity across multiple biological endpoints and thus incomplete mitigation of ecological risk. Therefore, focusing solely on parent compound removal for contaminants of higher relative risk, the most common approach to fate characterization, provides no mechanistic relationship to potential biological effects and is inadequate as a comprehensive metric for reduction of ecological risks. Here, we explore these phenomena for endocrine-active steroid hormones, focusing on examples of conserved bioactivity and related implications for fate assessment, regulatory approaches, and research opportunities."
Costs of Advanced Treatment in Water Reclamation,Sep 2014,"The additional removal of trace organic contaminants (TOrCs) provided by advanced water and wastewater treatment inevitably requires additional financial costs, which must be estimated to support utility planning and compare alternatives. This study presents conceptual-level (Class 4) capital and annual operations and maintenance (O&M) cost curve equations to aid evaluations of advanced treatment trains for water reuse. The cost curve equations are broadly applicable to the water reuse community, particularly those interested in ozone-based treatment trains. Unit processes include microfiltration or ultrafiltration membranes (MF/UF), nanofiltration or reverse osmosis membranes (NF/RO), ozone (with or without hydrogen peroxide, H2O2), ultraviolet (UV) treatment with H2O2 (UV/H2O2), and biological activated carbon (BAC); all cost curves are for a unit process and can be added together to obtain costs for a combined treatment train. The cost curves indicate that at all plant capacities (1 to 500 MGD), membrane treatment (e.g., MF or RO) represents the highest cost unit process, ozone the least, and BAC or UV/H2O2 fall in between. Additionally, the relationship between ozone dose and TOrC removal is discussed with a demonstration of how costs change with increasing ozone dose to achieve desired TOrC destruction."
Detection and identification of strategic water contaminants through untargeted analysis by time of flight mass spectrometry,Aug 2014,no abstract provided
Preparation and characterization of magnetic-core titanium dioxide: Implications for photocatalytic removal of ibuprofen,Aug 2014,"Magnetically separable titanium dioxides (MSTs) were synthesized from nano-magnetite (Fe3O4), tetraethyl orthosilicate (TEOS), and titanium butoxide (TBT) using a sol-gel process, and their activity in the photocatalytic oxidation of ibuprofen (IBP) was evaluated. Transmission electron microscopy-energy dispersive spectroscopy (TEM-EDS) revealed that the thickness of TiO2 layers was linearly dependent on the TBT content, producing predictable results. As the ratio of TBT (mL) to TEOS (mL) increased, the purity of the TiO2 layers of the prepared MSTs increased owing to the absence of Si compounds. Based on TEM-EDS, X-ray diffraction, Fourier transform infrared, and X-ray photoelectron spectroscopy analyses, TiO2 in MSTs was successfully coated on the surface of amorphous SiO2 with Fe3O4 as the core. Magnetization of the MSTs declined exponentially with increasing thickness of the non-magnetic SiO2-TiO2 layer. The optimal loading and activation energy of MSTs were also determined for photocatalytic removal of IBP. Comparison of the kinetic constants suggests a positive relationship between photocatalytic activity and surface area. Increased aggregation of the MSTs with higher magnetization values was attributed to stronger magnetic dipole-dipole interactions. The results of this study provide an in-depth understanding of the synthesis of magnetically separable catalysts satisfying the requirements of both magnetic separation and photocatalytic activity with potential application in the removal of recalcitrant organic pollutants."
Emerging Chemical Contaminants: Looking for Greater Harmony,Aug 2014,no abstract provided
Increased Susceptibility to Methotrexate-Induced Toxicity in Nonalcoholic Steatohepatitis,Jul 2014,"Hepatic drug metabolizing enzymes and transporters play a crucial role in determining the fate of drugs, and alterations in liver function can place individuals at greater risk for adverse drug reactions (ADRs). We have shown that nonalcoholic steatohepatitis (NASH) leads to changes in the expression and localization of enzymes and transporters responsible for the disposition of numerous drugs. The purpose of this study was to determine the effect of NASH on methotrexate (MTX) disposition and the resulting toxicity profile. Sprague-Dawley rats were fed either a control or methionine-choline deficient diet for 8 weeks to induce NASH, then administered a single i.p. vehicle, 10, 40, or 100mg/kg MTX injection followed by blood, urine, and feces collection over 96 hours with terminal tissue collection. At the onset of dosing, Abcc1-4, Abcb1, and Abcg2 were elevated in NASH livers, whereas Abcc2 and Abcb1 were not properly localized to the membrane, similar to that previously observed in human NASH. NASH rodents receiving 40-100mg/kg MTX exhibited hepatocellular damage followed by initiation of repair, whereas damage was absent in controls. NASH rodents receiving 100mg/kg MTX exhibited slightly greater renal toxicity, indicating multiple organ toxicity, despite the majority of the dose being excreted by 6 hours. Intestinal toxicity in NASH however, was strikingly less severe than controls, and coincided with reduced fecal MTX excretion. Because MTX-induced gastrointestinal toxicity limits the dose escalation necessary for cancer remission, these data suggest a greater risk for life-threatening MTX-induced hepatic and renal toxicity in NASH in the absence of overt gastrointestinal toxicity."
Determination of micropollutants in CSOs and their removal in wastewater treatment plant,Jul 2014,no abstract provided
N-Nitrosodimethylamine Formation upon Ozonation and Identification of Precursors Source in a Municipal Wastewater Treatment Plant,Jul 2014,"Ozone doses normalized to the dissolved organic carbon concentration were applied to the primary influent, primary effluent, and secondary effluent of a wastewater treatment plant pro-ducing water destined for potable reuse. Results showed the most N-Nitrosodimethylamine (NDMA) production from primary effluent, and the recycle streams entering the primary clarifi-ers were identified as the main source of NDMA precursors. The degradation of aminomethylat-ed polyacrylamide (Mannich) polymer used for sludge treatment was a significant cause of pre-cursor occurrence. A strong correlation between NDMA formation and ammonia concentration was found suggesting an important role of ammonia oxidation on NDMA production. During ozonation tests in DI water using dimethylamine (DMA) as model precursor, the NDMA yield significantly increased in the presence of ammonia and bromide due to the formation of hydrox-ylamine and brominated nitrogenous oxidants. In addition, NDMA formation during ozonation of dimethylformamide (DMF), other model precursor used in this study, occurred only in the presence of ammonia and it was attributable to the oxidation of DMF by hydroxyl radicals. Fil-tered wastewater samples (0.7 µm) produced more NDMA than unfiltered samples suggesting that ozone reacted with dissolved precursors and supporting the hypothesis of polymer degrada-tion. Particularly, total suspended solids content similarly affected NDMA formation and UV absorbance decrease during ozonation due to the different ozone demand created in filtered and unfiltered samples."
Online monitoring of Escherichia coli and Bacillus thuringiensis spore inactivation after advanced oxidation treatment,Jul 2014,"Various studies have shown that advanced oxidation processes (AOPs) such as UV light in combination with hydrogen peroxide is an efficient process for the removal of a large variety of emerging contaminants including microorganisms. The mechanism of destruction in the presence of hydrogen peroxide (H2O2) is the enhanced formation of hydroxyl (·OH) radicals, which have a high oxidation potential. The goal of this study was to utilize in-line advanced oxidation to inactivate microbes, and document the inactivation via an in-line, real-time sensor. Escherichia coli cells and Bacillus thuringiensis spores were exposed to UV/H2O2 treatment in DI water, and the online sensor BioSentry(®) was evaluated for its potential to monitor inactivation in real-time. B. thuringiensis was selected as a non-pathogenic surrogate for B. anthracis, the causative agent of anthrax and a proven biological weapon. UV radiation and UV/H2O2 exposure resulted in a >6 log10 reduction of the viable culturable counts of E. coli vegetative cells, and a 3 log10 reduction of B. thuringiensis spores. Scanning electron microscopy of the treated samples revealed severe damage on the surface of most E. coli cells, yet there was no significant change observed in the morphology of the B. thuringiensis spores. Following AOP exposure, the BioSentry sensor showed an increase in the categories of unknown, rod and spores counts, but overall, did not correspond well with viable count assays. Data from this study show that advanced oxidation processes effectively inactivate E. coli vegetative cells, but not B. thuringiensis spores, which were more resistant to AOP. Further, the BioSentry in-line sensor was not successful in documenting destruction of the microbial cells in real-time."
Inactivation of MS2 coliphage by UV and hydrogen peroxide: Comparison by cultural and molecular methodologies,Mar 2014,"The use of advanced oxidation processes (AOP) are expected to increase for removal of emerging contaminants and pathogens from drinking water. In this study, the performance of a small community ultraviolet light reactor in combination with hydrogen peroxide (H2O2) for MS2 coliphage inactivation with two different flow rate conditions of 1 gal/min (gpm) and 2 gpm was evaluated. Following UV radiation, MS2 showed a reduction of 5.3-5.8 log10 when quantified with cultural plaque counts, whereas corresponding quantitative polymerase chain reaction (qPCR) data showed only a 1.7-2.8 log10 reduction in viral RNA copy number. When H2O2 was added at either 2.5 or 5 ppm with UV at both flow rate conditions, enhanced MS2 inactivation occurred with a more than 7 log10 reduction observed via plaque counts, indicating that all added MS2 had been inactivated, since no plaques were formed after incubation at 37°C for 24 h. In contrast, qPCR only showed a corresponding 3-4 log10 reduction in viral RNA copy number. This research also sheds light on the inactivation of MS2 with ultraviolet light and in the presence of hydroxyl radicals and provides a practical use of qPCR to detect MS2 concentration following advanced oxidation relative to traditional plaque methodology; however qPCR detection overestimates the true number of infective virus."
Field-Scale Monitoring of Pharmaceutical Compounds Applied to Active Golf Courses by Recycled Water,Mar 2014,"The scarcity of potable water in arid and semiarid environments has led to the wider use of recycled water for irrigating agricultural fields, parks, golf courses, and other areas. One concern using recycled water as a source of irrigation has been the presence, fate, and transport of pharmaceutical compounds in water that percolates below the root zone of plants; however, very few multiyear field studies have been reported in the peer-reviewed literature. Here, we assessed compound mass flux of 13 pharmaceuticals in the fairways of four golf courses in the southwestern United States during a 2-yr field study. The sites varied by climate and soil type but were similar regarding turfgrass management. The results showed the presence of at least one pharmaceutical compound in nearly all samples collected, although concentrations were substantially lower after transport through the soil. Percent reduction in compound mass fluxes in drainage water was effectively 100% in 22 of 52 cases, 98 to 100% in 27 of 52 cases, and 73 to 94% in 3 of 52 cases (a case is defined as a specific compound measured at a specific site). Mass fluxes migrating below the root zone were calculated as <250 × 10-3 g ha-1 for all compounds and >100 × 10-3 g ha-1 in only two cases. For cases where the majority of the analyses were reportable, all fluxes were <8.80 × 10-3 g ha-1. Carbamazepine, meprobamate, and sulfamethoxazole were most commonly found in drainage water, representing nearly 80% of all reportable detections. This research demonstrates the potential of turfgrass/soil systems to reduce contaminant loading below the root zone and potentially toward groundwater."
The occurrence and fate of chemicals of emerging concern in coastal urban rivers receiving discharge of treated municipal wastewater effluent,Feb 2014,"To inform future monitoring and assessment of chemicals of emerging concern (CECs) in coastal urban watersheds, the occurrence and fate of more than 60 pharmaceuticals and personal care products (PPCPs), commercial/household chemicals, current-use pesticides, and hormones were characterized in 2 effluent-dominated rivers in southern California (USA). Water samples were collected during 2 low-flow events at locations above and below the discharge points of water reclamation plants (WRPs) and analyzed using gas chromatography-mass spectrometry and liquid chromatography-tandem mass spectrometry. Approximately 50% of targeted CECs were detectable at stations downstream from WRPs, compared with <31% and <10% at the reference stations above the WRPs. Concentrations of chlorinated phosphate flame retardants were highest among the CECs tested, with mean total aggregate concentrations of tris(2-chloroethyl) phosphate (TCEP), tris(1-chloro-2-propyl) phosphate (TCPP), and tris(1,3-dichloro-2-propyl) phosphate (TDCPP) of 3400ng/L and 2400ng/L for the 2 rivers. Maximum in-stream concentrations of pyrethroids (bifenthrin and permethrin), diclofenac, and galaxolide exceeded risk-based thresholds established for monitoring of CECs in effluent-dominated receiving waters. In contrast, maximum concentrations of PPCPs commonly detected in treated wastewater (e.g., acetaminophen, N,N,diethyl-meta-toluamide [DEET], and gemfibrozil) were less than 10% of established thresholds. Attenuation of target CECs was not observed downstream of WRP discharge until dilution by seawater occurred in the tidal zone, partly because of the short hydraulic residence times in these highly channelized systems (<3 d). In addition to confirming CECs for future in-stream monitoring, these results suggest that conservative mass transport is an important boundary condition for assessment of the input, fate, and effects of CECs in estuaries at the bottom of these watersheds. (c) 2013 SETAC"
"Determination of micropollutants in combined sewer overflows and their removal in a wastewater treatment plant (Seoul, South Korea)",Jan 2014,"The present study investigated the occurrence of 29 selected micropollutants such as endocrine disrupting compounds (EDCs) and pharmaceuticals and personal care products (PPCPs) in surface waters and wastewaters in Seoul (South Korea) during both dry and wet weather conditions. The study area was selected based on the lack of available information regarding the suspected contamination of rivers/creeks by EDCs and PPCPs in the Seoul region and the presence of a wastewater treatment plant (WWTP), which serves approximately 4.1 million inhabitants and has a design capacity of 1,297 × 10(3) m(3)/day. Many target compounds (83 %) were detected in samples collected from wastewater treatment influent/effluent, creek water, and combined sewer overflow (CSO). The total EDC/PPCP concentrations were as follows: WWTP influent (69,903 ng/L) > WWTP effluent (50,175 ng/L) >3 creek samples (16,035-44,446 ng/L) during dry weather, and WWTP influent (53,795 ng/L) > WWTP bypass (38,653 ng/L) >5 creek samples (15,260-29,113 ng/L) >2 CSO samples (11,109-11,498 ng/L) during wet weather. EDCs and PPCPs were found to be present at high daily loads (65.1 and 69.8 kg/day during dry and wet weather, respectively) in the WWTP effluent. Compound removal by the WWTP varied significantly by compound: caffeine, diclofenac, ibuprofen, naproxen, and propylparaben (>90 %), and acesulfame, DEET, iohexol, iopromide, and iopamidol (<5 %). These findings and literature information support the hypothesis that the efficiency of removal of EDCs and PPCPs is strongly dependent on both removal mechanism (e.g., biodegradation, adsorption to sludge, and oxidation by chlorine) and compound physicochemical properties (e.g., pK a and hydrophobicity)."
"Mechanism of Drug Failure in Fusarium Keratitis, 2004-2006",Jan 2014,no abstract provided
"An Adaptive, Comprehensive Monitoring Strategy for Chemicals of Emerging Concern (CECs) in California's Aquatic Ecosystems",Jan 2014,"A scientific advisory panel was convened by the State of California to recommend monitoring for chemicals of emerging concern (CECs) in aquatic systems that receive discharge of municipal wastewater treatment plant (WWTP) effluent and storm water runoff. The panel developed a risk-based, screening framework that considered environmental sources and fate of CECs observed in receiving waters across the State. Using existing occurrence and risk threshold data in water, sediment and biological tissue, the panel applied the framework to identify a priority list of CECs for initial monitoring in three representative receiving water scenarios. The initial screening list of 16 CECs identified by the panel included consumer and commercial chemicals, flame retardants, pesticides, pharmaceuticals and personal care products, and natural hormones. The panel designed an iterative, phased strategy with interpretive guidelines that direct and update management actions commensurate with potential risk identified using the risk-based framework and monitoring data. Due to the ever changing nature of chemical use, technology, and management practices, the panel offered recommendations to improve CEC monitoring, including: development of bioanalytical screening methods whose responses integrate exposure to complex mixtures and that can be linked to higher order effects; development/refinement of models that predict the input, fate and effects of future chemicals; and filling of key data gaps on CEC occurrence and toxicity. Lastly, the panel stressed the need for adaptive management, allowing for future review of, and if warranted, modifications to the strategy to incorporate the latest science available to the water resources community. Integr Environ Assess Manag © 2013 SETAC."
The Occurrence and fate of chemicals of emerging concern (CECs) incoastal urban rivers receiving discharge of treated municipal wastewater effluent,Jan 2014,no abstract provided
"Benchmarking Organic Micropollutants in Wastewater, Recycled Water and Drinking Water with In Vitro Bioassays",Dec 2013,"Thousands of organic micropollutants and their transformation products occur in water. Although often present at low concentrations, individual compounds contribute to mixture effects. Cell-based bioassays that target health-relevant biological endpoints may therefore complement chemical analysis for water quality assessment. The objective of this study was to evaluate cell-based bioassays for their suitability to benchmark water quality and to assess efficacy of water treatment processes. The selected bioassays cover relevant steps in the toxicity pathways including induction of xenobiotic metabolism, specific and reactive modes of toxic action, activation of adaptive stress response pathways and system responses. Twenty laboratories applied 103 unique in vitro bioassays to a common set of 10 water samples collected in Australia, including wastewater treatment plant effluent, two types of recycled water (reverse osmosis and ozonation/activated carbon filtration), stormwater, surface water, and drinking water. Sixty-five bioassays (63%) showed positive results in at least one sample, typically in wastewater treatment plant effluent, and only five (5%) were positive in the control (ultrapure water). Each water type had a characteristic bioanalytical profile with particular groups of toxicity pathways either consistently responsive or not responsive across test systems. The most responsive health-relevant endpoints were related to xenobiotic metabolism (pregnane X and aryl hydrocarbon receptors), hormone-mediated modes of action (mainly related to the estrogen, glucocorticoid, and antiandrogen activities), reactive modes of action (genotoxicity) and adaptive stress response pathway (oxidative stress response). This study has demonstrated that selected cell-based bioassays are suitable to benchmark water quality and it is recommended to use a purpose-tailored panel of bioassays for routine monitoring."
Results of an Inter laboratory Comparison of Analytical Methods for Contaminants of Emerging Concern in Water,Dec 2013,"An evaluation of existing analytical methods used to measure contaminants of emerging concern (CECs) was performed through an interlaboratory comparison involving 25 research and commercial laboratories. Fifty-two methods were used in the single-blind study to determine method accuracy and comparability for 22 target compounds, including pharmaceuticals, personal care products and steroid hormones, all at ng/L levels in surface and drinking water. Method biases ranged from <10% to well over 100% in both matrices, suggesting that while some methods are accurate, others can be considerably inaccurate. In addition, the number and degree of outliers identified suggest a high degree of variability may be present between methods currently in use. Three compounds, ciprofloxacin, 4-nonylphenol (NP) and 4-tert-octylphenol (OP), were especially difficult to measure accurately. While most compounds had overall false positive rates of ≤5%, bisphenol A, caffeine, NP, OP and triclosan had false positive rates >15%. In addition, some methods reported false positives for 17β-estradiol and 17α-ethynylestradiol in unspiked drinking water and deionized water, respectively, at levels higher than published predicted no-effect concentrations for these compounds in the environment. False negative rates were also generally <5%; however, rates were higher for the steroid hormones and some of the more challenging compounds, such as ciprofloxacin. The elevated false positive/negative rates of some analytes emphasize the susceptibility of many current methods to blank contamination, misinterpretation of background interferences and/or inappropriate setting of detection/quantification levels for analysis at low ng/L levels. The results of both comparisons were collectively assessed to identify parameters that resulted in the best overall method performance. Liquid chromatography-tandem mass spectrometry coupled with the calibration technique of isotope dilution were able to accurately quantify most compounds with an average bias of <10% for both matrices. These findings suggest that this method of analysis is suitable at environmentally relevant levels for most of the compounds studied. This work underscores the need for robust, standardized analytical methods for CECs to improve data quality, increase comparability between studies and help reduce false positive and false negative rates."
"Evaluation of Process Control Alternatives for the Inactivation of Escherichia coli, MS2 Bacteriophage, and Bacillus subtilis Spores during Wastewater Ozonation",Nov 2013,"Dissolved ozone concentration integrated over time (CT) is a reliable indicator of disinfection efficacy in drinking water treatment. However, ozone CT may not be measurable in some wastewater ozone applications. In this study, alternative process control parameters, specifically ozone to total organic carbon (O3:TOC) ratio, differential UV254 absorbance (ΔUV254), and differential total fluorescence (ΔTF), were correlated with the inactivation of Escherichia coli, the bacteriophage MS2, and Bacillus subtilis spores in five secondary wastewater effluents. CT values greater than 9 mg-min/L were generally required for measurable inactivation of B. subtilis spores, and CT values of 1 and 2 mg-min/L consistently achieved greater than 6- and 5-log inactivation of MS2 and E. coli, respectively. The O3:TOC, ΔUV254, and ΔTF correlations for MS2 and B. subtilis were useful for predicting inactivation, while those of E. coli were characterized by greater variability. [Supplementary materials are available for this article. Go to the publisher's online edition of Ozone: Science & Engineering for the following free supplemental resources: additional figures and data tables.]"
Spatial and thematic distribution of research on cyanotoxins,Oct 2013,no abstract provided
Spatial and thematic distribution of research on cyanotoxins,Sep 2013,"a b s t r a c t Cyanobacteria in surface water are well known for their ability to form toxic blooms responsible for animal mortality and human poisoning. Accompanying major progress in science and technology, the state of knowledge of cyanotoxins has dramatically increased over the last two decades. The bibliometric approach applied in this study shows the evolution of research and identifies major gaps to be filled by future work. Although the publication rate has gradually increased from one hundred to three hundred articles per year since the 1990s, half of the literature available focuses on microcystins and another quarter on saxitoxins. Other cyanotoxins such as beta-N-methylamino-L-alanine or cylin-drospermopsin remain vastly disregarded. Moreover, most of the publications deal with toxicity and ecology while other research areas, such as environmental and public health, require additional investigation. The analysis of the literature highlights the main journals for the communication of knowledge on cyanotoxins but also reveals that 90% of the research is originated from only ten countries. These countries are also those with the highest H-index and average number of citation per article. Nonetheless, the ranking of these countries is significantly altered when the amount of publications is normalized based on the population, the number of universities, the national gross domestic product or the government revenue. However, the lower amount of publications from Eastern Europe, Africa and South America could also reflect the lack of monitoring campaigns in these regions. This lack could potentially lead to the underestimation of the prevalence of toxic cyanobacterial blooms and the diversity of toxins worldwide."
The Effects of Solids Retention Time in Full-Scale Activated Sludge Basins on Trace Organic Contaminant Concentrations,Aug 2013,"Although pharmaceuticals and personal care products (PPCPs) and endocrine disrupting compounds (EDCs) are largely unregulated, water resource recovery facilities are increasingly using advanced chemical/physical treatment technologies (e.g., advanced oxidation and reverse osmosis) to remove or destroy these trace organic contaminants (TOrCs). This can both reduce potential adverse human health effects in reuse applications and mitigate environmental effects on aquatic ecosystems. Unfortunately, advanced treatment technologies are typically energy intensive and costly to implement, operate, and maintain. The goal of this study was to determine whether optimization of solids retention time (SRT) provided sufficient benefits to warrant such operational strategies for TOrC mitigation. Specifically, SRTs of 5.5, 6, and 15 days were evaluated to determine the effects on several standard wastewater parameters (e.g., nitrite, nitrate, and ammonia concentrations) and the degradation of TOrCs. The experimental SRTs were operated simultaneously in parallel, full-scale activated sludge basins. The results indicate that it can be beneficial to implement biological process optimization strategies using existing infrastructure while reducing reliance on advanced treatment technologies. This study also identified potential operational issues that might arise in activated sludge systems operating at extended SRTs."
Reverse osmosis (RO) and pressure retarded osmosis (PRO) hybrid processes: Model-based scenario study,Aug 2013,"We conducted a scenario study on a promising RO–PRO hybrid system to alleviate water and energy demands. We utilized a previously validated reverse osmosis (RO) process model and modified a model of a pressure-retarded osmosis (PRO) process to properly consider the spatial distribution of concentration and velocity based on a mass balance principle. Using the models, we compared four different RO–PRO hybrid configurations based on the water and energy return rate (WERR). Subsequently, the comparison of the water production rate and energy production rate confirmed the results that RO plays a dominant role to determine the WERR value. Hybrid systems that use seawater as a feed water for RO are more energy price sensitive. That is, a decrease in the RO plant size considerably diminishes the WERR values; however, the PRO plant size plays a minor role to determine the WERR value. Research and available literature on RO–PRO hybrid processes are in a relatively early stage; this study is a preliminary step to evaluate further advances in hybrid systems that can eventually alleviate water and energy demands."
State of knowledge and concerns on cyanobacterial blooms and cyanotoxins,Jul 2013,"Cyanobacteria are ubiquitous microorganisms considered as important contributors to the formation of Earth's atmosphere and nitrogen fixation. However, they are also frequently associated with toxic blooms. Indeed, the wide range of hepatotoxins, neurotoxins and dermatotoxins synthesized by these bacteria is a growing environmental and public health concern. This paper provides a state of the art on the occurrence and management of harmful cyanobacterial blooms in surface and drinking water, including economic impacts and research needs. Cyanobacterial blooms usually occur according to a combination of environmental factors e.g., nutrient concentration, water temperature, light intensity, salinity, water movement, stagnation and residence time, as well as several other variables. These environmental variables, in turn, have promoted the evolution and biosynthesis of strain-specific, gene-controlled metabolites (cyanotoxins) that are often harmful to aquatic and terrestrial life, including humans. Cyanotoxins are primarily produced intracellularly during the exponential growth phase. Release of toxins into water can occur during cell death or senescence but can also be due to evolutionary-derived or environmentally-mediated circumstances such as allelopathy or relatively sudden nutrient limitation. Consequently, when cyanobacterial blooms occur in drinking water resources, treatment has to remove both cyanobacteria (avoiding cell lysis and subsequent toxin release) and aqueous cyanotoxins previously released. Cells are usually removed with limited lysis by physical processes such as clarification or membrane filtration. However, aqueous toxins are usually removed by both physical retention, through adsorption on activated carbon or reverse osmosis, and chemical oxidation, through ozonation or chlorination. While the efficient oxidation of the more common cyanotoxins (microcystin, cylindrospermopsin, anatoxin and saxitoxin) has been extensively reported, the chemical and toxicological characterization of their by-products requires further investigation. In addition, future research should also investigate the removal of poorly considered cyanotoxins (β-methylamino-alanine, lyngbyatoxin or aplysiatoxin) as well as the economic impact of blooms."
